c_Localidad,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia,
41,MEX,Zumpango,1/1/22,,
41,OAX,San Francisco Telixtlahuaca,1/1/22,,
41,VER,Cuichapa,1/1/22,,
42,JAL,El Quince (San José el Quince),1/1/22,,
42,OAX,Mariscala de Juárez,1/1/22,,
42,VER,Santiago Tuxtla,1/1/22,,
43,JAL,San José el Verde (El Verde),1/1/22,,
43,OAX,Santiago Pinotepa Nacional,1/1/22,,
43,VER,Huayacocotla,1/1/22,,
44,JAL,Jocotepec,1/1/22,,
44,OAX,Santiago Jamiltepec,1/1/22,,
44,VER,Paso de Ovejas,1/1/22,,
45,JAL,Tecalitlán,1/1/22,,
45,OAX,San Pedro Pochutla,1/1/22,,
45,VER,Catemaco,1/1/22,,
46,JAL,Chapala,1/1/22,,
46,OAX,Heroica Ciudad de Tlaxiaco,1/1/22,,
46,VER,Nogales,1/1/22,,
47,JAL,Ajijic,1/1/22,,
47,OAX,San Juan Bautista Valle Nacional,1/1/22,,
47,VER,Las Choapas,1/1/22,,
48,JAL,San Ignacio Cerro Gordo,1/1/22,,
48,OAX,Lagunas,1/1/22,,
48,VER,General Miguel Alemán (Potrero Nuevo),1/1/22,,
49,JAL,Zacoalco de Torres,1/1/22,,
49,OAX,Ciudad Ixtepec,1/1/22,,
49,VER,Coatzintla,1/1/22,,
50,JAL,Huejuquilla el Alto,1/1/22,,
50,OAX,Santiago Juxtlahuaca,1/1/22,,
50,VER,Ángel R. Cabada,1/1/22,,
51,JAL,Villa Hidalgo,1/1/22,,
51,OAX,San Sebastián Tecomaxtlahuaca,1/1/22,,
51,VER,San Rafael,1/1/22,,
52,JAL,Unión de San Antonio,1/1/22,,
52,OAX,Asunción Nochixtlán,1/1/22,,
52,VER,Tlacojalpan,1/1/22,,
53,JAL,Las Pintitas,1/1/22,,
53,OAX,San Francisco Ixhuatán,1/1/22,,
53,VER,Cosoleacaque,1/1/22,,
54,JAL,Tamazula de Gordiano,1/1/22,,
54,OAX,San Blas Atempa,1/1/22,,
54,VER,Lerdo de Tejada,1/1/22,,
55,JAL,Acatlán de Juárez,1/1/22,,
55,OAX,Santo Domingo Tehuantepec,1/1/22,,
55,VER,Tihuatlán,1/1/22,,
56,JAL,Valle de Guadalupe,1/1/22,,
56,OAX,Cuilápam de Guerrero,1/1/22,,
56,VER,Atoyac,1/1/22,,
57,OAX,El Rosario,1/1/22,,
57,VER,Huiloapan de Cuauhtémoc,1/1/22,,
58,OAX,Santa Lucia del Camino,1/1/22,,
58,VER,Cazones de Herrera,1/1/22,,
59,OAX,San Antonio de la Cal,1/1/22,,
59,VER,Yecuatla,1/1/22,,
60,VER,Soledad de Doblado,1/1/22,,
61,VER,Cerro Azul,1/1/22,,
62,VER,Tezonapa,1/1/22,,
66,VER,Sihuapan,1/1/22,,
67,VER,El Higo,1/1/22,,
68,VER,Paso del Macho,1/1/22,,
69,VER,Tlapacoyan,1/1/22,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
